year,bso_classification,montant_moyen
2013,Biology (fond.),1507.87652794982
2013,Chemistry,1845.48103285171
2013,"Computer and 
 information sciences",1463.11282359288
2013,"Earth, Ecology, 
Energy and applied biology",1515.5448639683
2013,Engineering,1935.15824490279
2013,Humanities,1525.27737747048
2013,Mathematics,844.288314496544
2013,Medical research,1796.45273379027
2013,"Physical sciences, Astronomy",1397.96736370143
2013,Social sciences,1448.85796446915
2014,Biology (fond.),1556.55711877446
2014,Chemistry,1909.54428199369
2014,"Computer and 
 information sciences",1697.21944610229
2014,"Earth, Ecology, 
Energy and applied biology",1594.34521293358
2014,Engineering,2001.33244794367
2014,Humanities,1329.75546202727
2014,Mathematics,1660.43191528396
2014,Medical research,1806.81708375157
2014,"Physical sciences, Astronomy",1760.84112630507
2014,Social sciences,1531.35382500725
2015,Biology (fond.),1898.8360218132
2015,Chemistry,1960.72758003114
2015,"Computer and 
 information sciences",2018.14869461455
2015,"Earth, Ecology, 
Energy and applied biology",1626.51730468988
2015,Engineering,2156.10057108601
2015,Humanities,1159.47936829132
2015,Mathematics,1152.00463301097
2015,Medical research,1812.44742119202
2015,"Physical sciences, Astronomy",1926.00795604133
2015,Social sciences,1540.65140905917
2016,Biology (fond.),1869.22062658439
2016,Chemistry,2118.61894033754
2016,"Computer and 
 information sciences",2328.07363941259
2016,"Earth, Ecology, 
Energy and applied biology",1769.52639176009
2016,Engineering,2418.49977389211
2016,Humanities,1324.59251867292
2016,Mathematics,1955.36375209571
2016,Medical research,1854.15698135577
2016,"Physical sciences, Astronomy",1948.5576623659
2016,Social sciences,1682.97621464239
2017,Biology (fond.),1927.14350938663
2017,Chemistry,1770.68981580087
2017,"Computer and 
 information sciences",2390.14854444694
2017,"Earth, Ecology, 
Energy and applied biology",1812.67060948821
2017,Engineering,2217.01529899512
2017,Humanities,1428.80320844433
2017,Mathematics,1940.27905117955
2017,Medical research,1931.46716612735
2017,"Physical sciences, Astronomy",1796.42922850406
2017,Social sciences,1570.80756416862
2018,Biology (fond.),2015.07861875325
2018,Chemistry,1684.08018259814
2018,"Computer and 
 information sciences",2171.95810303208
2018,"Earth, Ecology, 
Energy and applied biology",1706.32494680131
2018,Engineering,2072.42693294603
2018,Humanities,1318.19906869848
2018,Mathematics,1978.12448239208
2018,Medical research,1966.4221295225
2018,"Physical sciences, Astronomy",1727.3793908991
2018,Social sciences,1748.00437615098
2019,Biology (fond.),2008.27340338851
2019,Chemistry,1698.78580601811
2019,"Computer and 
 information sciences",1871.90810948055
2019,"Earth, Ecology, 
Energy and applied biology",1720.90512607896
2019,Engineering,1712.53984387631
2019,Humanities,1295.76145117346
2019,Mathematics,1659.05107764851
2019,Medical research,1941.93569463586
2019,"Physical sciences, Astronomy",1698.93007008489
2019,Social sciences,1715.54309301011
2020,Biology (fond.),2021.20033264232
2020,Chemistry,1820.80040129289
2020,"Computer and 
 information sciences",1700.55721707794
2020,"Earth, Ecology, 
Energy and applied biology",1780.03399266043
2020,Engineering,1588.22507803769
2020,Humanities,1438.12068504787
2020,Mathematics,1522.05149895082
2020,Medical research,1965.90846926129
2020,"Physical sciences, Astronomy",1706.35870640152
2020,Social sciences,1749.0311224286
