year,is_covered_by_couperin,montant_moyen
2013,covered by couperin,2214.25095853051
2013,not covered by couperin,1481.47126973463
2014,covered by couperin,2206.46883139216
2014,not covered by couperin,1521.00921642415
2015,covered by couperin,2333.63994287145
2015,not covered by couperin,1666.46995977573
2016,covered by couperin,2340.11932597169
2016,not covered by couperin,1714.94313354197
2017,covered by couperin,2286.43355172433
2017,not covered by couperin,1752.65711102475
2018,covered by couperin,2312.09332333424
2018,not covered by couperin,1773.9658144434
2019,covered by couperin,2329.68230860414
2019,not covered by couperin,1771.08645658063
2020,covered by couperin,2391.59062958703
2020,not covered by couperin,1803.06852876788
