year,bso_classification,montant_moyen
2013,Biology (fond.),1469.70418131778
2013,Chemistry,1786.11168085179
2013,"Computer and 
 information sciences",1448.18103939784
2013,"Earth, Ecology, 
Energy and applied biology",1508.82249388561
2013,Engineering,1978.02904429502
2013,Humanities,1374.79626586302
2013,Mathematics,1078.20679016786
2013,Medical research,1742.09368663791
2013,"Physical sciences, Astronomy",1348.11991663945
2013,Social sciences,1430.18813831445
2014,Biology (fond.),1498.07208399808
2014,Chemistry,1869.21058469197
2014,"Computer and 
 information sciences",1717.40815077098
2014,"Earth, Ecology, 
Energy and applied biology",1570.90390205486
2014,Engineering,2052.75644929004
2014,Humanities,1208.26008211853
2014,Mathematics,1818.23387121513
2014,Medical research,1739.34155967613
2014,"Physical sciences, Astronomy",1719.57740395194
2014,Social sciences,1494.27976345764
2015,Biology (fond.),1817.62387387424
2015,Chemistry,1879.11343300159
2015,"Computer and 
 information sciences",2192.85743902199
2015,"Earth, Ecology, 
Energy and applied biology",1547.81781296729
2015,Engineering,2182.13916389059
2015,Humanities,978.131492372303
2015,Mathematics,1306.89404151837
2015,Medical research,1722.0155620556
2015,"Physical sciences, Astronomy",1881.52092482978
2015,Social sciences,1480.05173333784
2016,Biology (fond.),1835.20381743139
2016,Chemistry,2171.97009334557
2016,"Computer and 
 information sciences",2439.39817784238
2016,"Earth, Ecology, 
Energy and applied biology",1739.8834125781
2016,Engineering,2489.61126355157
2016,Humanities,1273.68896794835
2016,Mathematics,2037.48090671945
2016,Medical research,1796.38386494102
2016,"Physical sciences, Astronomy",1948.41767512672
2016,Social sciences,1675.46813374992
2017,Biology (fond.),1875.80144386529
2017,Chemistry,1726.2445579876
2017,"Computer and 
 information sciences",2509.54896027351
2017,"Earth, Ecology, 
Energy and applied biology",1770.71653481366
2017,Engineering,2268.30586418896
2017,Humanities,1430.96013667766
2017,Mathematics,1998.81521734961
2017,Medical research,1853.28324868369
2017,"Physical sciences, Astronomy",1801.95291029665
2017,Social sciences,1536.30247645808
2018,Biology (fond.),1967.06613695025
2018,Chemistry,1608.45462591594
2018,"Computer and 
 information sciences",2277.25038097663
2018,"Earth, Ecology, 
Energy and applied biology",1594.00927586459
2018,Engineering,2175.54447170442
2018,Humanities,1211.43317829744
2018,Mathematics,2055.47413047964
2018,Medical research,1891.48328914053
2018,"Physical sciences, Astronomy",1656.1865911721
2018,Social sciences,1742.25688493082
2019,Biology (fond.),1979.32282300224
2019,Chemistry,1630.36675754531
2019,"Computer and 
 information sciences",1946.35018524058
2019,"Earth, Ecology, 
Energy and applied biology",1598.14449334259
2019,Engineering,1756.7377493644
2019,Humanities,1299.86988750805
2019,Mathematics,1534.17554763468
2019,Medical research,1872.14947606912
2019,"Physical sciences, Astronomy",1627.58025036847
2019,Social sciences,1764.34289407756
2020,Biology (fond.),1993.7681816587
2020,Chemistry,1745.25537271683
2020,"Computer and 
 information sciences",1695.40291643299
2020,"Earth, Ecology, 
Energy and applied biology",1638.0132216445
2020,Engineering,1547.20312779566
2020,Humanities,1367.5927030675
2020,Mathematics,1288.25242078864
2020,Medical research,1905.16114599476
2020,"Physical sciences, Astronomy",1602.14581519975
2020,Social sciences,1697.58285816455
