year,tier,montant_moyen
2013,tier 1,2383.78971762832
2013,tier 2,1509.50819746424
2013,tier 3,1361.38635914782
2013,tier 4,1517.74928177103
2014,tier 1,2291.65882550213
2014,tier 2,1568.52186669545
2014,tier 3,1439.25212661987
2014,tier 4,1546.9517997803
2015,tier 1,2515.79642482185
2015,tier 2,1863.12063002895
2015,tier 3,1552.93811558872
2015,tier 4,1416.0658954251
2016,tier 1,2620.34734948636
2016,tier 2,1778.13844419552
2016,tier 3,1696.25292566935
2016,tier 4,1604.32190229584
2017,tier 1,2602.09676743332
2017,tier 2,1745.24711229603
2017,tier 3,1674.14448734788
2017,tier 4,1830.74361436172
2018,tier 1,2744.31842211494
2018,tier 2,1705.07601997938
2018,tier 3,1704.44924811567
2018,tier 4,1813.47046931701
2019,tier 1,2358.75489977609
2019,tier 2,1719.88335779301
2019,tier 3,1783.68612151553
2019,tier 4,1794.33785757165
2020,tier 1,2099.34857604868
2020,tier 2,1785.47756191752
2020,tier 3,1832.12083024061
2020,tier 4,1873.2392807455
