year,is_covered_by_couperin,montant_moyen
2013,covered by couperin,2128.33642029817
2013,not covered by couperin,1484.6688780113
2014,covered by couperin,2126.44557503514
2014,not covered by couperin,1542.81878141607
2015,covered by couperin,2263.63948507558
2015,not covered by couperin,1705.67447801778
2016,covered by couperin,2360.51161294229
2016,not covered by couperin,1791.03299061051
2017,covered by couperin,2213.72743258347
2017,not covered by couperin,1828.14850874985
2018,covered by couperin,2260.59684710821
2018,not covered by couperin,1810.79991901137
2019,covered by couperin,2156.95513818934
2019,not covered by couperin,1781.26304234448
2020,covered by couperin,2154.7330394207
2020,not covered by couperin,1794.22920816897
