year,tier,montant_moyen
2013,tier 1,2439.23685989319
2013,tier 2,1644.96457558811
2013,tier 3,1412.36625031808
2013,tier 4,1529.90694731512
2014,tier 1,2337.53058383783
2014,tier 2,1737.17772133221
2014,tier 3,1495.50153434032
2014,tier 4,1580.34663788309
2015,tier 1,2569.87229549978
2015,tier 2,1972.551971634
2015,tier 3,1620.62423583738
2015,tier 4,1412.1504542068
2016,tier 1,2664.59844189009
2016,tier 2,1843.91137672401
2016,tier 3,1726.33997801424
2016,tier 4,1594.29480281484
2017,tier 1,2645.26332231453
2017,tier 2,1823.69337446809
2017,tier 3,1724.37576005001
2017,tier 4,1776.00297492479
2018,tier 1,2793.52328088065
2018,tier 2,1813.66867528888
2018,tier 3,1771.81113153057
2018,tier 4,1759.33215706558
2019,tier 1,2426.24674891487
2019,tier 2,1794.62974806758
2019,tier 3,1845.38887076192
2019,tier 4,1766.76868429635
2020,tier 1,2207.0122056257
2020,tier 2,1856.38655595067
2020,tier 3,1896.43223335155
2020,tier 4,1835.88495362764
