year,is_covered_by_couperin,montant_moyen
2013,covered by couperin,2064.78665326527
2013,not covered by couperin,1453.81642792619
2014,covered by couperin,2101.47328074806
2014,not covered by couperin,1481.28000372009
2015,covered by couperin,2252.77693253734
2015,not covered by couperin,1602.03756070911
2016,covered by couperin,2275.89292061812
2016,not covered by couperin,1679.38405589121
2017,covered by couperin,2156.48522033702
2017,not covered by couperin,1714.29891227066
2018,covered by couperin,2148.3566250863
2018,not covered by couperin,1727.82395964386
2019,covered by couperin,2227.74904798596
2019,not covered by couperin,1735.97123338793
2020,covered by couperin,2273.83709864981
2020,not covered by couperin,1771.72182144111
