year,oa_color_finale,somme
2013,gold,6931515.50737959
2013,hybridOA,2099448.78393483
2014,gold,8146322.23439731
2014,hybridOA,3144734.14843352
2015,gold,10797547.1231943
2015,hybridOA,3055940.17576244
2016,gold,12700257.0112709
2016,hybridOA,4066314.26696119
2017,gold,14568353.5626297
2017,hybridOA,4393237.91693784
2018,gold,15472815.5799513
2018,hybridOA,4784818.05848514
2019,gold,18209913.6511562
2019,hybridOA,5519174.78446072
2020,gold,23493022.2481307
2020,hybridOA,6639126.71397491
2013,overall,9030964.29131442
2014,overall,11291056.3828308
2015,overall,13853487.2989568
2016,overall,16766571.2782321
2017,overall,18961591.4795676
2018,overall,20257633.6384365
2019,overall,23729088.4356169
2020,overall,30132148.9621056
