year,mean_APC_1,mean_APC_min_1,mean_APC_max_1,nb_articles_1,nb_articles_min_1,nb_articles_max_1,montant_apc_1,montant_apc_min_1,montant_apc_max_1,mean_APC_2,mean_APC_min_2,mean_APC_max_2,nb_articles_2,nb_articles_min_2,nb_articles_max_2,montant_apc_2,montant_apc_min_2,montant_apc_max_2,mean_APC_3,mean_APC_min_3,mean_APC_max_3,nb_articles_3,nb_articles_min_3,nb_articles_max_3,montant_apc_3,montant_apc_min_3,montant_apc_max_3,mean_APC_4,mean_APC_min_4,mean_APC_max_4,nb_articles_4,nb_articles_min_4,nb_articles_max_4,montant_apc_4,montant_apc_min_4,montant_apc_max_4,mean_APC_total,mean_APC_total_min,mean_APC_total_max,nb_articles_total,nb_articles_total_min,nb_articles_total_max,montant_apc_total,montant_apc_total_min,montant_apc_total_max
2013,2382.29988052187,2382.29988052187,2382.29988052187,313,313,313,745659.862603346,745659.862603346,745659.862603346,1502.26555389321,1502.26555389321,1502.26555389321,300,300,300,450679.666167962,450679.666167962,450679.666167962,1372.25096522246,1372.25096522246,1372.25096522246,2348,2348,2348,3222045.26634233,3222045.26634233,3222045.26634233,1518.90699791084,1518.90699791084,1518.90699791084,1868,1868,1868,2837318.27209746,2837318.27209746,2837318.27209746,1693.9308493871,1693.9308493871,1693.9308493871,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109
2014,2238.96448745228,2238.96448745228,2238.96448745228,517,517,517,1157544.64001283,1157544.64001283,1157544.64001283,1552.48665565429,1552.48665565429,1552.48665565429,429,429,429,666016.775275692,666016.775275692,666016.775275692,1396.13552326808,1396.13552326808,1396.13552326808,2429,2429,2429,3391213.18601818,3391213.18601818,3391213.18601818,1566.94323124679,1566.94323124679,1566.94323124679,2227,2227,2227,3489582.57598659,3489582.57598659,3489582.57598659,1688.63247440536,1688.63247440536,1688.63247440536,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329
2015,2348.16968168598,2348.16968168598,2348.16968168598,537,537,537,1260967.11906537,1260967.11906537,1260967.11906537,1841.73664886405,1841.73664886405,1841.73664886405,2054,2054,2054,3782927.07676676,3782927.07676676,3782927.07676676,1511.11021386529,1511.11021386529,1511.11021386529,2530,2530,2530,3823108.84107919,3823108.84107919,3823108.84107919,1442.92590017734,1442.92590017734,1442.92590017734,1267,1267,1267,1828187.11552469,1828187.11552469,1828187.11552469,1785.98561114816,1785.98561114816,1785.98561114816,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436
2016,2176.60047622293,2176.60047622293,2176.60047622293,579,579,579,1260251.67573307,1260251.67573307,1260251.67573307,1774.2821394806,1774.2821394806,1774.2821394806,2701,2701,2701,4792336.05873711,4792336.05873711,4792336.05873711,1683.45471224392,1683.45471224392,1683.45471224392,2596,2596,2596,4370248.43298522,4370248.43298522,4370248.43298522,1617.92013580888,1617.92013580888,1617.92013580888,1427,1427,1427,2308772.03379927,2308772.03379927,2308772.03379927,1813.06436593908,1813.06436593908,1813.06436593908,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547
2017,2159.17957747466,2159.17957747466,2159.17957747466,686,686,686,1481197.19014762,1481197.19014762,1481197.19014762,1734.59167165588,1734.59167165588,1734.59167165588,3186,3186,3186,5526409.06589564,5526409.06589564,5526409.06589564,1677.88635717248,1677.88635717248,1677.88635717248,2718,2718,2718,4560495.11879479,4560495.11879479,4560495.11879479,1830.47441260246,1830.47441260246,1830.47441260246,1585,1585,1585,2901301.94397489,2901301.94397489,2901301.94397489,1850.53300472637,1850.53300472637,1850.53300472637,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129
2018,2460.88478772911,2460.88478772911,2460.88478772911,709,709,709,1744767.31449994,1744767.31449994,1744767.31449994,1697.15840625235,1697.15840625235,1697.15840625235,3735,3735,3735,6338886.64735252,6338886.64735252,6338886.64735252,1696.3766191077,1696.3766191077,1696.3766191077,3071,3071,3071,5209572.59727974,5209572.59727974,5209572.59727974,1791.39126146068,1791.39126146068,1791.39126146068,1595,1595,1595,2857269.06202978,2857269.06202978,2857269.06202978,1911.45276863746,1911.45276863746,1911.45276863746,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162
2019,2270.15778144216,2270.15778144216,2270.15778144216,873,873,873,1981847.743199,1981847.743199,1981847.743199,1704.69118177516,1704.69118177516,1704.69118177516,4897,4897,4897,8347872.71715294,8347872.71715294,8347872.71715294,1781.30571528437,1781.30571528437,1781.30571528437,3311,3311,3311,5897903.22330657,5897903.22330657,5897903.22330657,1804.57474943413,1804.57474943413,1804.57474943413,1541,1541,1541,2780849.688878,2780849.688878,2780849.688878,1890.18235698396,1890.18235698396,1890.18235698396,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365
2020,2140.04532685653,2140.04532685653,2140.04532685653,1221,1221,1221,2612995.34409183,2612995.34409183,2612995.34409183,1765.33630305623,1765.33630305623,1765.33630305623,6864,6864,6864,12117268.384178,12117268.384178,12117268.384178,1827.64759460214,1827.64759460214,1827.64759460214,3970,3970,3970,7255760.95057051,7255760.95057051,7255760.95057051,1873.69587262121,1873.69587262121,1873.69587262121,1701,1701,1701,3187156.67932868,3187156.67932868,3187156.67932868,1901.68127428403,1901.68127428403,1901.68127428403,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169
2021,2123.90247220107,2114.75791818898,2133.04702621316,1321,1224,1419,2805675.16577761,2588463.69186331,3026793.73019647,1766.4388707715,1761.03529001083,1771.84245153217,7734,7636,7831,13661638.2265468,13447265.4745227,13875298.2379484,1893.57168325284,1889.24830716282,1897.89505934286,4186,4088,4283,7926491.06609639,7723247.07968159,8128684.53916549,1930.02716854819,1924.46005098997,1935.59428610642,1666,1569,1763,3215425.26280129,3019477.82000326,3412452.72640561,1928.4850486934,1922.37539158815,1934.59470579865,14907,14517,15296,27609229.7212221,26778454.0660709,28443229.233716
2022,2107.75961754561,2089.47050952143,2126.04872556979,1422,1227,1616,2997234.17614985,2563780.31518279,3435694.74052078,1767.54143848677,1756.73427696544,1778.3486000081,8603,8409,8797,15206158.9953017,14772378.5350024,15644132.6342713,1959.49577190354,1950.84901972349,1968.14252408358,4401,4207,4596,8623740.89214746,8207221.82597672,9045583.04068815,1986.35846447517,1975.22422935873,1997.49269959162,1631,1436,1825,3239750.65555901,2836421.99335913,3645424.17675471,1955.28882310277,1943.06950889227,1967.50813731327,16057,15279,16834,30066884.719158,28379802.669521,31770834.5922349
