year,mean_APC_covered,mean_APC_min_covered,mean_APC_max_covered,nb_articles_covered,nb_articles_min_covered,nb_articles_max_covered,montant_apc_covered,montant_apc_min_covered,montant_apc_max_covered,mean_APC_non_covered,mean_APC_min_non_covered,mean_APC_max_non_covered,nb_articles_non_covered,nb_articles_min_non_covered,nb_articles_max_non_covered,montant_apc_non_covered,montant_apc_min_non_covered,montant_apc_max_non_covered,mean_APC_total,mean_APC_total_min,mean_APC_total_max,nb_articles_total,nb_articles_total_min,nb_articles_total_max,montant_apc_total,montant_apc_total_min,montant_apc_total_max,mean_APC_total_final,mean_APC_total_min_final,mean_APC_total_max_final,nb_articles_total_final,nb_articles_total_min_final,nb_articles_total_max_final,montant_apc_total_final,montant_apc_total_min_final,montant_apc_total_max_final
2013,2064.78665326527,2064.78665326527,2064.78665326527,385,385,385,794942.861507128,794942.861507128,794942.861507128,1453.81642792619,1453.81642792619,1453.81642792619,4444,4444,4444,6460760.20570397,6460760.20570397,6460760.20570397,1759.30154059573,1759.30154059573,1759.30154059573,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109,1693.9308493871,1693.9308493871,1693.9308493871,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109
2014,2101.47328074806,2101.47328074806,2101.47328074806,655,655,655,1376464.99888998,1376464.99888998,1376464.99888998,1481.28000372009,1481.28000372009,1481.28000372009,4947,4947,4947,7327892.17840331,7327892.17840331,7327892.17840331,1791.37664223408,1791.37664223408,1791.37664223408,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329,1688.63247440536,1688.63247440536,1688.63247440536,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329
2015,2252.77693253734,2252.77693253734,2252.77693253734,709,709,709,1597218.84516897,1597218.84516897,1597218.84516897,1602.03756070911,1602.03756070911,1602.03756070911,5679,5679,5679,9097971.30726704,9097971.30726704,9097971.30726704,1927.40724662322,1927.40724662322,1927.40724662322,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436,1785.98561114816,1785.98561114816,1785.98561114816,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436
2016,2275.89292061812,2275.89292061812,2275.89292061812,783,783,783,1782024.15684399,1782024.15684399,1782024.15684399,1679.38405589121,1679.38405589121,1679.38405589121,6520,6520,6520,10949584.0444107,10949584.0444107,10949584.0444107,1977.63848825467,1977.63848825467,1977.63848825467,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547,1813.06436593908,1813.06436593908,1813.06436593908,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547
2017,2156.48522033702,2156.48522033702,2156.48522033702,1029,1029,1029,2219023.29172679,2219023.29172679,2219023.29172679,1714.29891227066,1714.29891227066,1714.29891227066,7146,7146,7146,12250380.0270861,12250380.0270861,12250380.0270861,1935.39206630384,1935.39206630384,1935.39206630384,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129,1850.53300472637,1850.53300472637,1850.53300472637,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129
2018,2148.3566250863,2148.3566250863,2148.3566250863,975,975,975,2094647.70945915,2094647.70945915,2094647.70945915,1727.82395964386,1727.82395964386,1727.82395964386,8135,8135,8135,14055847.9117028,14055847.9117028,14055847.9117028,1938.09029236508,1938.09029236508,1938.09029236508,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162,1911.45276863746,1911.45276863746,1911.45276863746,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162
2019,2227.74904798596,2227.74904798596,2227.74904798596,1157,1157,1157,2577505.64851976,2577505.64851976,2577505.64851976,1735.97123338793,1735.97123338793,1735.97123338793,9465,9465,9465,16430967.7240167,16430967.7240167,16430967.7240167,1981.86014068695,1981.86014068695,1981.86014068695,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365,1890.18235698396,1890.18235698396,1890.18235698396,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365
2020,2273.83709864981,2273.83709864981,2273.83709864981,1596,1596,1596,3629044.0094451,3629044.0094451,3629044.0094451,1771.72182144111,1771.72182144111,1771.72182144111,12160,12160,12160,21544137.3487239,21544137.3487239,21544137.3487239,2022.77946004546,2022.77946004546,2022.77946004546,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169,1901.68127428403,1901.68127428403,1901.68127428403,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169
2021,2291.67580082642,2290.82979348502,2292.52180816783,1740,1693,1787,3987515.89343797,3878374.84037013,4096736.4711959,1814.39459811169,1814.09742763659,1814.6917685868,13166,13120,13213,23888319.2787386,23800958.2505921,23977522.3383373,2053.03519946906,2052.4636105608,2053.60678837731,14906,14813,15000,27875835.1721765,27679333.0909622,28074258.8095332,1928.4850486934,1922.37539158815,1934.59470579865,14907,14517,15296,27609229.7212221,26778454.0660709,28443229.233716
2022,2309.51450300303,2307.82248832022,2311.20651768584,1884,1790,1978,4351125.32365771,4131002.25409319,4571566.49198259,1857.06737478228,1856.47303383208,1857.66171573248,14173,14079,14267,26320215.9027892,26137283.8433218,26503259.6983553,2083.29093889265,2082.14776107615,2084.43411670916,16057,15869,16245,30671341.2264469,30268286.097415,31074826.1903379,1955.28882310277,1943.06950889227,1967.50813731327,16057,15279,16834,30066884.719158,28379802.669521,31770834.5922349
2023,2327.35320517964,2324.81518315542,2329.89122720385,2028,1887,2168,4719872.3001043,4386926.25061428,5051204.18057795,1899.74015145286,1898.84864002756,1900.63166287817,15179,15039,15320,28836155.758903,28556784.6973745,29117677.0752936,2113.54667831625,2111.83191159149,2115.26144504101,17207,16926,17488,33556028.0590073,32943710.9479887,34168881.2558715,1982.09259751214,1963.76362619639,2000.4215688279,17207,16040,18374,32547259.0478911,29973768.9859058,35163806.7205292
2024,2345.19190735624,2341.80787799063,2348.57593672186,2171,1984,2359,5091411.63087041,4646146.8299334,5540290.63472687,1942.41292812345,1941.22424622304,1943.60161002386,16186,15998,16373,31439895.6546062,31055705.4910762,31822589.1609206,2143.80241773985,2141.51606210683,2146.08877337286,18357,17982,18732,36531307.2854766,35701852.3210096,37362879.7956475,2008.89637192151,1984.45774350051,2033.33500034252,18357,16801,19913,35051075.9009904,31562076.1366303,38616128.6769967
2025,2363.03060953285,2358.80057282583,2367.26064623987,2315,2081,2550,5470415.86106855,4908663.99205055,6036514.64791168,1985.08570479404,1983.59985241853,1986.57155716954,17192,16958,17427,34127593.4368191,33637886.2973134,34619982.5267937,2174.05815716344,2171.20021262218,2176.91610170471,19507,19039,19977,39598009.2978876,38546550.2893639,40656497.1747053,2035.70014633089,2005.15186080463,2066.24843185714,19508,17562,21452,37579789.3735873,33144740.362511,42129852.6792683
2026,2380.86931170946,2375.79326766103,2385.94535575789,2459,2178,2741,5854557.63749356,5174477.73696573,6539876.22013236,2027.75848146462,2025.97545861401,2029.54150431523,18199,17917,18480,36903176.6041746,36299402.2919872,37505926.9997455,2204.31389658704,2200.88436313752,2207.74343003656,20658,20095,21221,42757734.2416682,41473880.0289529,44045803.2198779,2062.50392074026,2025.84597810875,2099.16186337176,20658,18326,22990,40129972.6769915,34727673.2278422,45703244.7705742
2027,2398.70801388607,2392.78596249624,2404.6300652759,2603,2275,2931,6243836.96014543,5443588.06467894,7047970.72132365,2070.43125813521,2068.35106480949,2072.51145146092,19205,18877,19533,39762632.3124866,39044263.0504088,40482366.1813862,2234.56963601064,2230.56851365286,2238.57075836841,21808,21152,22464,46006469.2726321,44487851.1150877,47530336.9027098,2089.30769514963,2046.54009541287,2132.07529488639,21809,19086,24530,42705152.7420131,36296827.4938544,49342001.6630467
2028,2416.54671606267,2409.77865733144,2423.31477479391,2747,2372,3122,6638253.82902416,5715994.97519017,7565588.72690658,2113.10403480579,2110.72667100498,2115.48139860661,20212,19837,20587,42710058.7514947,41870484.9727257,43551415.5531142,2264.82537543423,2260.25266416821,2269.39808670026,22959,22209,23709,49348312.5805188,47586479.9479159,51117004.2800208,2116.111469559,2067.23421271699,2164.98872640101,22959,19847,26069,45301440.4248513,37862503.5772902,53040136.376895
2029,2434.38541823928,2426.77135216664,2441.99948431192,2891,2469,3313,7037808.24412976,5991698.46849944,8090344.29152539,2155.77681147638,2153.10227720046,2158.45134575229,21218,20796,21640,45741272.3859058,44775914.9566608,46708887.1220797,2295.08111485783,2289.93681468355,2300.22541503211,24109,23265,24953,52779080.6300355,50767613.4251602,54799231.4136051,2142.91524396837,2087.92833002111,2197.90215791563,24109,20609,27609,47920608.4677773,39424301.3049223,56801824.0282632
2030,2452.22412041589,2443.76404700184,2460.68419382993,3035,2566,3504,7442500.20546222,6270698.54460673,8622237.41518008,2198.44958814696,2195.47788339594,2201.42129289798,22225,21756,22693,48860542.0965663,47764816.8311622,49956853.3997339,2325.33685428143,2319.62096519889,2331.05274336396,25260,24322,26197,56303042.3020285,54035515.3757689,58579090.814914,2169.71901837774,2108.62244732523,2230.81558943025,25259,21370,29148,50563550.4074388,40978670.996841,60623565.7798282
