year,mean_APC_biology,mean_APC_min_biology,mean_APC_max_biology,nb_articles_biology,nb_articles_min_biology,nb_articles_max_biology,montant_apc_biology,montant_apc_min_biology,montant_apc_max_biology,mean_APC_chemistry,mean_APC_min_chemistry,mean_APC_max_chemistry,nb_articles_chemistry,nb_articles_min_chemistry,nb_articles_max_chemistry,montant_apc_chemistry,montant_apc_min_chemistry,montant_apc_max_chemistry,mean_APC_computer,mean_APC_min_computer,mean_APC_max_computer,nb_articles_computer,nb_articles_min_computer,nb_articles_max_computer,montant_apc_computer,montant_apc_min_computer,montant_apc_max_computer,mean_APC_earth,mean_APC_min_earth,mean_APC_max_earth,nb_articles_earth,nb_articles_min_earth,nb_articles_max_earth,montant_apc_earth,montant_apc_min_earth,montant_apc_max_earth,mean_APC_engineering,mean_APC_min_engineering,mean_APC_max_engineering,nb_articles_engineering,nb_articles_min_engineering,nb_articles_max_engineering,montant_apc_engineering,montant_apc_min_engineering,montant_apc_max_engineering,mean_APC_humanities,mean_APC_min_humanities,mean_APC_max_humanities,nb_articles_humanities,nb_articles_min_humanities,nb_articles_max_humanities,montant_apc_humanities,montant_apc_min_humanities,montant_apc_max_humanities,mean_APC_mathematics,mean_APC_min_mathematics,mean_APC_max_mathematics,nb_articles_mathematics,nb_articles_min_mathematics,nb_articles_max_mathematics,montant_apc_mathematics,montant_apc_min_mathematics,montant_apc_max_mathematics,mean_APC_medical,mean_APC_min_medical,mean_APC_max_medical,nb_articles_medical,nb_articles_min_medical,nb_articles_max_medical,montant_apc_medical,montant_apc_min_medical,montant_apc_max_medical,mean_APC_physical,mean_APC_min_physical,mean_APC_max_physical,nb_articles_physical,nb_articles_min_physical,nb_articles_max_physical,montant_apc_physical,montant_apc_min_physical,montant_apc_max_physical,mean_APC_social,mean_APC_min_social,mean_APC_max_social,nb_articles_social,nb_articles_min_social,nb_articles_max_social,montant_apc_social,montant_apc_min_social,montant_apc_max_social,mean_APC_total,mean_APC_total_min,mean_APC_total_max,nb_articles_total,nb_articles_total_min,nb_articles_total_max,montant_apc_total,montant_apc_total_min,montant_apc_total_max,mean_APC_total_final,mean_APC_total_min_final,mean_APC_total_max_final,nb_articles_total_final,nb_articles_total_min_final,nb_articles_total_max_final,montant_apc_total_final,montant_apc_total_min_final,montant_apc_total_max_final
2013,1453.60397887737,1453.60397887737,1453.60397887737,2355,2355,2355,3423237.37025619,3423237.37025619,3423237.37025619,1705.76942743497,1705.76942743497,1705.76942743497,44,44,44,75053.8548071387,75053.8548071387,75053.8548071387,1104.50124539115,1104.50124539115,1104.50124539115,91,91,91,100509.613330595,100509.613330595,100509.613330595,1365.25089790434,1365.25089790434,1365.25089790434,439,439,439,599345.144180006,599345.144180006,599345.144180006,1349.42009704828,1349.42009704828,1349.42009704828,28,28,28,37783.7627173518,37783.7627173518,37783.7627173518,1028.20201696679,1028.20201696679,1028.20201696679,31,31,31,31874.2625259706,31874.2625259706,31874.2625259706,617.381603836275,617.381603836275,617.381603836275,24,24,24,14817.1584920706,14817.1584920706,14817.1584920706,1670.04367257128,1670.04367257128,1670.04367257128,1565,1565,1565,2613618.34757406,2613618.34757406,2613618.34757406,1432.57833307518,1432.57833307518,1432.57833307518,230,230,230,329493.016607292,329493.016607292,329493.016607292,1362.29712365531,1362.29712365531,1362.29712365531,22,22,22,29970.5367204168,29970.5367204168,29970.5367204168,1308.9048396761,1308.9048396761,1308.9048396761,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109,1693.9308493871,1693.9308493871,1693.9308493871,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109
2014,1464.69214700155,1464.69214700155,1464.69214700155,2553,2553,2553,3739359.05129496,3739359.05129496,3739359.05129496,1820.81951408494,1820.81951408494,1820.81951408494,100,100,100,182081.951408494,182081.951408494,182081.951408494,1285.5542946759,1285.5542946759,1285.5542946759,94,94,94,120842.103699534,120842.103699534,120842.103699534,1526.90737828082,1526.90737828082,1526.90737828082,514,514,514,784830.39243634,784830.39243634,784830.39243634,1377.10642209079,1377.10642209079,1377.10642209079,34,34,34,46821.6183510868,46821.6183510868,46821.6183510868,973.464665292097,973.464665292097,973.464665292097,34,34,34,33097.7986199313,33097.7986199313,33097.7986199313,1293.42230702666,1293.42230702666,1293.42230702666,78,78,78,100886.93994808,100886.93994808,100886.93994808,1703.88051865882,1703.88051865882,1703.88051865882,1911,1911,1911,3256115.671157,3256115.671157,3256115.671157,1582.90227425333,1582.90227425333,1582.90227425333,255,255,255,403640.079934599,403640.079934599,403640.079934599,1264.88173942277,1264.88173942277,1264.88173942277,29,29,29,36681.5704432602,36681.5704432602,36681.5704432602,1429.36312607877,1429.36312607877,1429.36312607877,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329,1688.63247440536,1688.63247440536,1688.63247440536,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329
2015,1792.06900693567,1792.06900693567,1792.06900693567,2252,2252,2252,4035739.40361913,4035739.40361913,4035739.40361913,1808.76555299872,1808.76555299872,1808.76555299872,176,176,176,318342.737327774,318342.737327774,318342.737327774,1133.17099997174,1133.17099997174,1133.17099997174,90,90,90,101985.389997457,101985.389997457,101985.389997457,1452.4557607686,1452.4557607686,1452.4557607686,533,533,533,774158.920489666,774158.920489666,774158.920489666,1273.79468575337,1273.79468575337,1273.79468575337,45,45,45,57320.7608589017,57320.7608589017,57320.7608589017,734.421438915112,734.421438915112,734.421438915112,35,35,35,25704.7503620289,25704.7503620289,25704.7503620289,731.447403654059,731.447403654059,731.447403654059,31,31,31,22674.8695132758,22674.8695132758,22674.8695132758,1657.37160806452,1657.37160806452,1657.37160806452,2835,2835,2835,4698648.50886291,4698648.50886291,4698648.50886291,1726.52649920171,1726.52649920171,1726.52649920171,350,350,350,604284.274720597,604284.274720597,604284.274720597,1373.91552888451,1373.91552888451,1373.91552888451,41,41,41,56330.5366842647,56330.5366842647,56330.5366842647,1368.3938485148,1368.3938485148,1368.3938485148,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436,1785.98561114816,1785.98561114816,1785.98561114816,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436
2016,1798.60530727815,1798.60530727815,1798.60530727815,2840,2840,2840,5108039.07266996,5108039.07266996,5108039.07266996,1828.41505360809,1828.41505360809,1828.41505360809,210,210,210,383967.1612577,383967.1612577,383967.1612577,1325.46867411697,1325.46867411697,1325.46867411697,88,88,88,116641.243322293,116641.243322293,116641.243322293,1556.93594418803,1556.93594418803,1556.93594418803,567,567,567,882782.680354615,882782.680354615,882782.680354615,1445.6160531707,1445.6160531707,1445.6160531707,50,50,50,72280.802658535,72280.802658535,72280.802658535,774.386474485651,774.386474485651,774.386474485651,35,35,35,27103.5266069978,27103.5266069978,27103.5266069978,871.819842347908,871.819842347908,871.819842347908,30,30,30,26154.5952704372,26154.5952704372,26154.5952704372,1760.616235597,1760.616235597,1760.616235597,2994,2994,2994,5271285.00937743,5271285.00937743,5271285.00937743,1748.38327915633,1748.38327915633,1748.38327915633,454,454,454,793766.008736975,793766.008736975,793766.008736975,1416.8028857066,1416.8028857066,1416.8028857066,35,35,35,49588.1009997311,49588.1009997311,49588.1009997311,1452.70497496554,1452.70497496554,1452.70497496554,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547,1813.06436593908,1813.06436593908,1813.06436593908,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547
2017,1850.3422427576,1850.3422427576,1850.3422427576,3118,3118,3118,5769367.11291821,5769367.11291821,5769367.11291821,1518.42998100715,1518.42998100715,1518.42998100715,254,254,254,385681.215175816,385681.215175816,385681.215175816,1389.41893994704,1389.41893994704,1389.41893994704,117,117,117,162562.015973803,162562.015973803,162562.015973803,1623.22613523297,1623.22613523297,1623.22613523297,768,768,768,1246637.67185892,1246637.67185892,1246637.67185892,1458.82818635705,1458.82818635705,1458.82818635705,63,63,63,91906.1757404942,91906.1757404942,91906.1757404942,774.139159683086,774.139159683086,774.139159683086,39,39,39,30191.4272276403,30191.4272276403,30191.4272276403,871.416577195222,871.416577195222,871.416577195222,35,35,35,30499.5802018328,30499.5802018328,30499.5802018328,1817.52876712573,1817.52876712573,1817.52876712573,3215,3215,3215,5843354.98630922,5843354.98630922,5843354.98630922,1625.71167493035,1625.71167493035,1625.71167493035,528,528,528,858375.764363227,858375.764363227,858375.764363227,1337.56234325721,1337.56234325721,1337.56234325721,38,38,38,50827.3690437741,50827.3690437741,50827.3690437741,1426.66040074934,1426.66040074934,1426.66040074934,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129,1850.53300472637,1850.53300472637,1850.53300472637,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129
2018,1949.39004576512,1949.39004576512,1949.39004576512,3262,3262,3262,6358910.32928582,6358910.32928582,6358910.32928582,1287.04866061129,1287.04866061129,1287.04866061129,286,286,286,368095.91693483,368095.91693483,368095.91693483,1319.98458543961,1319.98458543961,1319.98458543961,178,178,178,234957.25620825,234957.25620825,234957.25620825,1503.90899908415,1503.90899908415,1503.90899908415,878,878,878,1320432.10119589,1320432.10119589,1320432.10119589,1204.6834979685,1204.6834979685,1204.6834979685,92,92,92,110830.881813102,110830.881813102,110830.881813102,761.229070679328,761.229070679328,761.229070679328,64,64,64,48718.660523477,48718.660523477,48718.660523477,790.719869029887,790.719869029887,790.719869029887,31,31,31,24512.3159399265,24512.3159399265,24512.3159399265,1837.57182032417,1837.57182032417,1837.57182032417,3526,3526,3526,6479278.23846302,6479278.23846302,6479278.23846302,1512.99584689084,1512.99584689084,1512.99584689084,740,740,740,1119616.92669922,1119616.92669922,1119616.92669922,1606.47158676304,1606.47158676304,1606.47158676304,53,53,53,85142.9940984411,85142.9940984411,85142.9940984411,1377.40039825559,1377.40039825559,1377.40039825559,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162,1911.45276863746,1911.45276863746,1911.45276863746,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162
2019,1969.4496948842,1969.4496948842,1969.4496948842,3631,3631,3631,7151071.84212454,7151071.84212454,7151071.84212454,1507.14093972371,1507.14093972371,1507.14093972371,368,368,368,554627.865818327,554627.865818327,554627.865818327,1372.08295114638,1372.08295114638,1372.08295114638,212,212,212,290881.585643033,290881.585643033,290881.585643033,1533.43815756897,1533.43815756897,1533.43815756897,1010,1010,1010,1548772.53914466,1548772.53914466,1548772.53914466,1389.38061182119,1389.38061182119,1389.38061182119,132,132,132,183398.240760397,183398.240760397,183398.240760397,942.641374774862,942.641374774862,942.641374774862,67,67,67,63156.9721099158,63156.9721099158,63156.9721099158,812.091256693083,812.091256693083,812.091256693083,55,55,55,44665.0191181196,44665.0191181196,44665.0191181196,1840.99539099679,1840.99539099679,1840.99539099679,4202,4202,4202,7735862.63296853,7735862.63296853,7735862.63296853,1519.33208694457,1519.33208694457,1519.33208694457,902,902,902,1370437.542424,1370437.542424,1370437.542424,1525.5612191858,1525.5612191858,1525.5612191858,43,43,43,65599.1324249896,65599.1324249896,65599.1324249896,1441.21136837396,1441.21136837396,1441.21136837396,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365,1890.18235698396,1890.18235698396,1890.18235698396,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365
2020,1992.59591820879,1992.59591820879,1992.59591820879,4451,4451,4451,8869044.43194734,8869044.43194734,8869044.43194734,1719.5898838769,1719.5898838769,1719.5898838769,541,541,541,930298.127177401,930298.127177401,930298.127177401,1451.03892352273,1451.03892352273,1451.03892352273,291,291,291,422252.326745116,422252.326745116,422252.326745116,1605.60006753555,1605.60006753555,1605.60006753555,1303,1303,1303,2092096.88799883,2092096.88799883,2092096.88799883,1299.49553503005,1299.49553503005,1299.49553503005,186,186,186,241706.169515589,241706.169515589,241706.169515589,1020.73684596614,1020.73684596614,1020.73684596614,80,80,80,81658.9476772915,81658.9476772915,81658.9476772915,911.350720187152,911.350720187152,911.350720187152,68,68,68,61971.8489727264,61971.8489727264,61971.8489727264,1889.52324124943,1889.52324124943,1889.52324124943,5489,5489,5489,10371593.0712181,10371593.0712181,10371593.0712181,1564.45966581291,1564.45966581291,1564.45966581291,1268,1268,1268,1983734.85625077,1983734.85625077,1983734.85625077,1504.11000842791,1504.11000842791,1504.11000842791,79,79,79,118824.690665805,118824.690665805,118824.690665805,1495.85008098176,1495.85008098176,1495.85008098176,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169,1901.68127428403,1901.68127428403,1901.68127428403,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169
2021,2070.39398495531,2066.17211553181,2074.6158543788,4753,4711,4794,9840582.61049258,9733736.83627036,9945708.40589198,1698.75467722818,1682.25031981409,1715.25903464228,599,557,641,1017554.05165968,937013.428136446,1099481.0412057,1488.4079061774,1469.9186756168,1506.89713673801,320,278,361,476290.52997677,408637.39182147,543989.866362422,1626.13573454549,1617.4711237535,1634.80034533748,1417,1375,1459,2304234.33585096,2224022.79516106,2385173.70384739,1294.35774776742,1268.59118009875,1320.1243154361,208,166,250,269226.411535623,210586.135896392,330031.078859024,1024.59633440662,995.12867519741,1054.06399361583,90,49,132,92213.6700965958,48761.3050846731,139136.44715729,886.286110309827,857.108139939668,915.464080679985,75,33,116,66471.458273237,28284.568618009,106193.833358878,1923.87099056503,1919.54318737581,1928.19879375424,5960,5918,6002,11466271.1037676,11359856.5828901,11573049.1601129,1553.21543848518,1542.84469689884,1563.58618007151,1396,1354,1438,2168288.75212531,2089011.71960104,2248436.92694283,1532.73327266645,1501.6352201946,1563.83132513829,88,47,130,134880.527994647,70576.8553491464,203298.072267978,1509.87521971069,1492.06633344213,1527.68410597925,14906,14488,15323,27836013.451773,27110487.6188287,28574498.5360064,1928.4850486934,1922.37539158815,1934.59470579865,14907,14517,15296,27609229.7212221,26778454.0660709,28443229.233716
2022,2148.19205170182,2139.74831285483,2156.63579054881,5054,4970,5138,10856962.629301,10634549.1148885,11080794.6918398,1677.91947057947,1644.91075575128,1710.92818540766,658,574,741,1104071.01164129,944178.773801233,1267797.78538708,1525.77688883207,1488.79842771086,1562.75534995329,348,265,432,530970.357313562,394531.583343378,675110.311179821,1646.67140155542,1629.34217997144,1664.00062313941,1531,1447,1615,2521053.91578135,2357658.13441867,2687361.00637015,1289.21996050479,1237.68682516744,1340.75309584214,230,146,314,296520.590916103,180702.276474447,420996.472094433,1028.4558228471,969.520504428677,1087.39114126552,101,17,185,103874.038107557,16481.8485752875,201167.361134121,861.221500432501,802.865559692183,919.577441172818,81,-2,165,69758.9415350325,-1605.73111938437,151730.277793515,1958.21873988063,1949.5631335022,1966.87434625905,6431,6348,6515,12593304.7161723,12375826.771472,12814186.3658777,1541.97121115744,1521.22972798478,1562.71269433011,1524,1441,1608,2349964.12580394,2192092.03802606,2512842.01248282,1561.35653690499,1499.1604319613,1623.55264184867,98,14,182,153012.940616689,20988.2460474582,295486.580816458,1523.90035843962,1488.2825859025,1559.51813097675,16056,15220,16895,30579493.2671888,29115403.0559276,32107472.8649759,1955.28882310277,1943.06950889227,1967.50813731327,16057,15279,16834,30066884.719158,28379802.669521,31770834.5922349
