year,mean_APC_total_tier,mean_APC_total_min_tier,mean_APC_total_max_tier,nb_articles_total_tier,nb_articles_total_min_tier,nb_articles_total_max_tier,montant_apc_total_tier,montant_apc_total_min_tier,montant_apc_total_max_tier,mean_APC_total_color,mean_APC_total_min_color,mean_APC_total_max_color,nb_articles_total_color,nb_articles_total_min_color,nb_articles_total_max_color,montant_apc_total_color,montant_apc_total_min_color,montant_apc_total_max_color,mean_APC_total_couperin,mean_APC_total_min_couperin,mean_APC_total_max_couperin,nb_articles_total_couperin,nb_articles_total_min_couperin,nb_articles_total_max_couperin,montant_apc_total_couperin,montant_apc_total_min_couperin,montant_apc_total_max_couperin,mean_APC_total_discipline,mean_APC_total_min_discipline,mean_APC_total_max_discipline,nb_articles_total_discipline,nb_articles_total_min_discipline,nb_articles_total_max_discipline,montant_apc_total_discipline,montant_apc_total_min_discipline,montant_apc_total_max_discipline
2013,1693.9308493871,1693.9308493871,1693.9308493871,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109,1887.40013394535,1887.40013394535,1887.40013394535,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109,1759.30154059573,1759.30154059573,1759.30154059573,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109,1308.9048396761,1308.9048396761,1308.9048396761,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109
2014,1688.63247440536,1688.63247440536,1688.63247440536,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329,1874.08947744425,1874.08947744425,1874.08947744425,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329,1791.37664223408,1791.37664223408,1791.37664223408,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329,1429.36312607877,1429.36312607877,1429.36312607877,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329
2015,1785.98561114816,1785.98561114816,1785.98561114816,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436,1986.21764695743,1986.21764695743,1986.21764695743,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436,1927.40724662322,1927.40724662322,1927.40724662322,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436,1368.3938485148,1368.3938485148,1368.3938485148,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436
2016,1813.06436593908,1813.06436593908,1813.06436593908,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547,2021.54357895599,2021.54357895599,2021.54357895599,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547,1977.63848825467,1977.63848825467,1977.63848825467,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547,1452.70497496554,1452.70497496554,1452.70497496554,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547
2017,1850.53300472637,1850.53300472637,1850.53300472637,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129,2091.82153689528,2091.82153689528,2091.82153689528,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129,1935.39206630384,1935.39206630384,1935.39206630384,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129,1426.66040074934,1426.66040074934,1426.66040074934,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129
2018,1911.45276863746,1911.45276863746,1911.45276863746,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162,2027.8489185049,2027.8489185049,2027.8489185049,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162,1938.09029236508,1938.09029236508,1938.09029236508,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162,1377.40039825559,1377.40039825559,1377.40039825559,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162
2019,1890.18235698396,1890.18235698396,1890.18235698396,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365,1994.01199677153,1994.01199677153,1994.01199677153,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365,1981.86014068695,1981.86014068695,1981.86014068695,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365,1441.21136837396,1441.21136837396,1441.21136837396,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365
2020,1901.68127428403,1901.68127428403,1901.68127428403,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169,2035.64033471725,2035.64033471725,2035.64033471725,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169,2022.77946004546,2022.77946004546,2022.77946004546,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169,1495.85008098176,1495.85008098176,1495.85008098176,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169
2021,1928.4850486934,1922.37539158815,1934.59470579865,14907,14517,15296,27609229.7212221,26778454.0660709,28443229.233716,2053.14609933167,2052.28890323296,2054.00329543038,14906,14817,14996,27863301.3052244,27671962.4017683,28057107.1679434,2053.03519946906,2052.4636105608,2053.60678837731,14906,14813,15000,27875835.1721765,27679333.0909622,28074258.8095332,1509.87521971069,1492.06633344213,1527.68410597925,14906,14488,15323,27836013.451773,27110487.6188287,28574498.5360064
2022,1955.28882310277,1943.06950889227,1967.50813731327,16057,15279,16834,30066884.719158,28379802.669521,31770834.5922349,2070.65186394609,2068.93747174867,2072.36625614351,16057,15877,16236,30643150.3320095,30251448.0224726,31033628.845687,2083.29093889265,2082.14776107615,2084.43411670916,16057,15869,16245,30671341.2264469,30268286.097415,31074826.1903379,1523.90035843962,1488.2825859025,1559.51813097675,16056,15220,16895,30579493.2671888,29115403.0559276,32107472.8649759
2023,1982.09259751214,1963.76362619639,2000.4215688279,17207,16040,18374,32547259.0478911,29973768.9859058,35163806.7205292,2088.15762856051,2085.58604026438,2090.72921685664,17207,16938,17476,33508113.2408099,32916249.752858,34101761.4047974,2113.54667831625,2111.83191159149,2115.26144504101,17207,16926,17488,33556028.0590073,32943710.9479887,34168881.2558715,1537.92549716856,1484.49883836287,1591.35215597424,17206,15951,18461,33404077.2667444,31186223.6049817,35756278.1784458
2024,2008.89637192151,1984.45774350051,2033.33500034252,18357,16801,19913,35051075.9009904,31562076.1366303,38616128.6769967,2105.66339317493,2102.23460878009,2109.09217756977,18357,17998,18716,36460844.9200234,35661783.6510571,37262027.0534655,2143.80241773985,2141.51606210683,2146.08877337286,18357,17982,18732,36531307.2854766,35701852.3210096,37362879.7956475,1551.95063589749,1480.71509082324,1623.18618097174,18357,16682,20032,36311062.2262626,33323966.0945237,39537356.7018671
2025,2035.70014633089,2005.15186080463,2066.24843185714,19508,17562,21452,37579789.3735873,33144740.362511,42129852.6792683,2123.16915778935,2118.8831772958,2127.4551382829,19507,19059,19957,39500603.205398,38492606.0682285,40516695.4913663,2174.05815716344,2171.20021262218,2176.91610170471,19507,19039,19977,39598009.2978876,38546550.2893639,40656497.1747053,1565.97577462642,1476.93134328361,1655.02020596924,19508,17416,21599,39299057.484349,35533139.5207158,43436254.9066279
2026,2062.50392074026,2025.84597810875,2099.16186337176,20658,18326,22990,40129972.6769915,34727673.2278422,45703244.7705742,2140.67492240377,2135.53174581151,2145.81809899603,20658,20120,21196,42630040.2759356,41406431.9311157,43859182.6787689,2204.31389658704,2200.88436313752,2207.74343003656,20658,20095,21221,42757734.2416682,41473880.0289529,44045803.2198779,1580.00091335536,1473.14759574398,1686.85423096673,20660,18148,23170,42368320.8469221,37804988.7455606,47465265.7068824
2027,2089.30769514963,2046.54009541287,2132.07529488639,21809,19086,24530,42705152.7420131,36296827.4938544,49342001.6630467,2158.18068701819,2152.18031432722,2164.18105970915,21808,21180,22436,45844641.5230554,44401031.3478799,47295788.1663306,2234.56963601064,2230.56851365286,2238.57075836841,21808,21152,22464,46006469.2726321,44487851.1150877,47530336.9027098,1594.02605208429,1469.36384820435,1718.68825596423,21807,18877,24737,45512773.3858719,40142013.038791,51614054.2476892
2028,2116.111469559,2067.23421271699,2164.98872640101,22959,19847,26069,45301440.4248513,37862503.5772902,53040136.376895,2175.6864516326,2168.82888284293,2182.54402042228,22959,22241,23676,49148896.4080547,47480877.8975531,50824526.7434501,2264.82537543423,2260.25266416821,2269.39808670026,22959,22209,23709,49348312.5805188,47586479.9479159,51117004.2800208,1608.05119081322,1465.58010066472,1750.52228096172,22958,19612,26305,48742015.7183597,42552833.6434445,55887091.5398889
2029,2142.91524396837,2087.92833002111,2197.90215791563,24109,20609,27609,47920608.4677773,39424301.3049223,56801824.0282632,2193.19221624702,2185.47745135864,2200.90698113541,24109,23301,24916,52538340.6169195,50641525.5918122,54445445.1800833,2295.08111485783,2289.93681468355,2300.22541503211,24109,23265,24953,52779080.6300355,50767613.4251602,54799231.4136051,1622.07632954216,1461.7963531251,1782.35630595922,24109,20342,27875,52053490.2605564,45024034.4381388,60289556.9405857
2030,2169.71901837774,2108.62244732523,2230.81558943025,25259,21370,29148,50563550.4074388,40978670.996841,60623565.7798282,2210.69798086144,2202.12601987435,2219.26994184854,25260,24362,26156,56017413.3163805,53887392.8282714,58158390.5065387,2325.33685428143,2319.62096519889,2331.05274336396,25260,24322,26197,56303042.3020285,54035515.3757689,58579090.814914,1636.10146827109,1458.01260558547,1814.19033095671,25259,21075,29445,55445526.6597004,47566435.0350166,64815049.9768452
