year,is_covered_by_couperin,montant_moyen
2013,covered by couperin,2181.19142494832
2013,not covered by couperin,1507.01966074873
2014,covered by couperin,2182.76797008596
2014,not covered by couperin,1568.72506388472
2015,covered by couperin,2309.56293205195
2015,not covered by couperin,1742.29526847112
2016,covered by couperin,2307.17087518261
2016,not covered by couperin,1799.69880981927
2017,covered by couperin,2259.14832161975
2017,not covered by couperin,1838.44415182165
2018,covered by couperin,2308.26192124122
2018,not covered by couperin,1838.63367738859
2019,covered by couperin,2226.71412134652
2019,not covered by couperin,1809.84968119446
2020,covered by couperin,2229.87288483752
2020,not covered by couperin,1826.74357502989
