year,mean_APC_1,mean_APC_min_1,mean_APC_max_1,nb_articles_1,nb_articles_min_1,nb_articles_max_1,montant_apc_1,montant_apc_min_1,montant_apc_max_1,mean_APC_2,mean_APC_min_2,mean_APC_max_2,nb_articles_2,nb_articles_min_2,nb_articles_max_2,montant_apc_2,montant_apc_min_2,montant_apc_max_2,mean_APC_3,mean_APC_min_3,mean_APC_max_3,nb_articles_3,nb_articles_min_3,nb_articles_max_3,montant_apc_3,montant_apc_min_3,montant_apc_max_3,mean_APC_4,mean_APC_min_4,mean_APC_max_4,nb_articles_4,nb_articles_min_4,nb_articles_max_4,montant_apc_4,montant_apc_min_4,montant_apc_max_4,mean_APC_total,mean_APC_total_min,mean_APC_total_max,nb_articles_total,nb_articles_total_min,nb_articles_total_max,montant_apc_total,montant_apc_total_min,montant_apc_total_max,montant_apc_total_S1,montant_apc_total_min_S1,montant_apc_total_max_S1
2013,2382.29988052187,2382.29988052187,2382.29988052187,24176,24176,24176,,,57594481.9114968,1502.26555389321,1502.26555389321,1502.26555389321,5246,5246,5246,,,7880885.09572377,1372.25096522246,1372.25096522246,1372.25096522246,25197,25197,25197,,,34576607.5707102,1518.90699791084,1518.90699791084,1518.90699791084,13994,13994,13994,,,21255584.5287644,1693.9308493871,1693.9308493871,1693.9308493871,68613,68613,68613,,,,7255703.06721109,7255703.06721109,7255703.06721109
2014,2238.96448745228,2238.96448745228,2238.96448745228,24675,24675,24675,,,55246448.7278851,1552.48665565429,1552.48665565429,1552.48665565429,5310,5310,5310,,,8243704.1415243,1396.13552326808,1396.13552326808,1396.13552326808,24527,24527,24527,,,34243015.9791963,1566.94323124679,1566.94323124679,1566.94323124679,14783,14783,14783,,,23164121.7875212,1688.63247440536,1688.63247440536,1688.63247440536,69295,69295,69295,,,,8704357.17729329,8704357.17729329,8704357.17729329
2015,2348.16968168598,2348.16968168598,2348.16968168598,23268,23268,23268,,,54637212.1534693,1841.73664886405,1841.73664886405,1841.73664886405,11952,11952,11952,,,22012436.4272231,1511.11021386529,1511.11021386529,1511.11021386529,25111,25111,25111,,,37945488.5803714,1442.92590017734,1442.92590017734,1442.92590017734,8924,8924,8924,,,12876670.7331826,1785.98561114816,1785.98561114816,1785.98561114816,69255,69255,69255,,,,10695190.152436,10695190.152436,10695190.152436
2016,2176.60047622293,2176.60047622293,2176.60047622293,24721,24721,24721,,,53807740.3727069,1774.2821394806,1774.2821394806,1774.2821394806,12495,12495,12495,,,22169655.3328101,1683.45471224392,1683.45471224392,1683.45471224392,26187,26187,26187,,,44084628.5495316,1617.92013580888,1617.92013580888,1617.92013580888,9738,9738,9738,,,15755306.2825068,1813.06436593908,1813.06436593908,1813.06436593908,73141,73141,73141,,,,12731608.2012547,12731608.2012547,12731608.2012547
2017,2159.17957747466,2159.17957747466,2159.17957747466,24511,24511,24511,,,52923650.6234815,1734.59167165588,1734.59167165588,1734.59167165588,13053,13053,13053,,,22641625.0901242,1677.88635717248,1677.88635717248,1677.88635717248,26627,26627,26627,,,44677080.0324315,1830.47441260246,1830.47441260246,1830.47441260246,9932,9932,9932,,,18180271.8659676,1850.53300472637,1850.53300472637,1850.53300472637,74123,74123,74123,,,,14469403.3188129,14469403.3188129,14469403.3188129
2018,2460.88478772911,2460.88478772911,2460.88478772911,24819,24819,24819,,,61076699.5466488,1697.15840625235,1697.15840625235,1697.15840625235,13346,13346,13346,,,22650276.0898438,1696.3766191077,1696.3766191077,1696.3766191077,26572,26572,26572,,,45076119.5229297,1791.39126146068,1791.39126146068,1791.39126146068,10659,10659,10659,,,19094439.4559093,1911.45276863746,1911.45276863746,1911.45276863746,75396,75396,75396,,,,16150495.621162,16150495.621162,16150495.621162
2019,2270.15778144216,2270.15778144216,2270.15778144216,23304,23304,23304,,,52903756.938728,1704.69118177516,1704.69118177516,1704.69118177516,14386,14386,14386,,,24523687.3410174,1781.30571528437,1781.30571528437,1781.30571528437,26130,26130,26130,,,46545518.3403807,1804.57474943413,1804.57474943413,1804.57474943413,10725,10725,10725,,,19354064.1876811,1890.18235698396,1890.18235698396,1890.18235698396,74545,74545,74545,,,,19008473.3725365,19008473.3725365,19008473.3725365
2020,2140.04532685653,2140.04532685653,2140.04532685653,23990,23990,23990,,,51339687.3912882,1765.33630305623,1765.33630305623,1765.33630305623,17051,17051,17051,,,30100749.3034118,1827.64759460214,1827.64759460214,1827.64759460214,22180,22180,22180,,,40537223.6482756,1873.69587262121,1873.69587262121,1873.69587262121,9671,9671,9671,,,18120512.7841197,1901.68127428403,1901.68127428403,1901.68127428403,72892,72892,72892,,,,25173181.358169,25173181.358169,25173181.358169
2021,2123.90247220107,2114.75791818898,2133.04702621316,23947,23492,24401,50861092.501799,49679893.0140955,52048480.4866273,1766.4388707715,1761.03529001083,1771.84245153217,18552,18098,19007,32770973.9305529,31871216.6786161,33677409.4762719,1893.57168325284,1889.24830716282,1897.89505934286,22084,21629,22538,41817637.0529557,40862551.6356246,42774758.8474695,1930.02716854819,1924.46005098997,1935.59428610642,9210,8756,9665,17775550.2223288,16850572.2064682,18707518.7752185,1928.4850486934,1922.37539158815,1934.59470579865,73793,71975,75611,143225253.707636,139264233.534804,147208167.585587,27609229.7212221,26778454.0660709,28443229.233716
2022,2107.75961754561,2089.47050952143,2126.04872556979,23904,22995,24813,50383885.8978102,48047374.3664452,52753647.0275631,1767.54143848677,1756.73427696544,1778.3486000081,20053,19144,20962,35444508.4659752,33630920.9982264,37277743.3533698,1959.49577190354,1950.84901972349,1968.14252408358,21987,21078,22896,43083433.536843,41119995.6377317,45062591.2314177,1986.35846447517,1975.22422935873,1997.49269959162,8749,7840,9658,17378650.2056933,15485757.9581724,19291784.4926559,1955.28882310277,1943.06950889227,1967.50813731327,74693,71057,78329,146290478.106322,138284048.960576,154385766.105007,30066884.719158,28379802.669521,31770834.5922349
2023,2091.61676289014,2064.18310085387,2119.05042492642,23861,22497,25224,49908067.5793217,46437927.2199095,53450927.9183439,1768.64400620204,1752.43326392004,1784.85474848404,21554,20191,22918,38121352.9096788,35383380.0318096,40905301.1257572,2025.41986055423,2012.44973228416,2038.3899888243,21890,20527,23254,44336440.7475321,41309555.654597,47400720.8001203,2042.68976040216,2025.98840772748,2059.39111307683,8288,6925,9652,16929812.7342131,14029969.7235128,19877243.0234176,1982.09259751214,1963.76362619639,2000.4215688279,75593,70140,81048,149295673.970746,137160832.629829,161634192.867639,32547259.0478911,29973768.9859058,35163806.7205292
2024,2075.47390823468,2038.89569218632,2112.05212428304,23818,22000,25636,49433637.5463336,44855705.228099,54144568.2581201,1769.74657391731,1748.13225087465,1791.36089695998,23055,21237,24873,40801507.2616637,37125084.6118249,44556519.5900855,2091.34394920493,2074.05044484483,2108.63745356502,21794,19976,23612,45578750.0289722,41431231.6862204,49789147.5535773,2099.02105632914,2076.75258609624,2121.28952656204,7827,6009,9645,16429037.8078882,12479206.2898523,20459837.4836908,2008.89637192151,1984.45774350051,2033.33500034252,76494,69222,83766,152242932.644858,135891227.815997,168950072.885474,35051075.9009904,31562076.1366303,38616128.6769967
