year,n,n_min,n_max
2020,87500000,87500000,87500000
2021,88500677.3029372,87676380.3742314,89324974.2316429
2022,89501354.6058743,87852760.7484628,91149948.4632858
2023,90502031.9088115,88029141.1226942,92974922.6949287
2024,91502709.2117486,88205521.4969255,94799896.9265717
2025,92503386.5146857,88381901.8711569,96624871.1582146
2026,93504063.8176229,88558282.2453883,98449845.3898575
2027,94504741.1205601,88734662.6196197,100274819.6215
2028,95505418.4234972,88911042.9938511,102099793.853143
2029,96506095.7264343,89087423.3680824,103924768.084786
2030,97506773.0293715,89263803.7423138,105749742.316429
