year,montant_apc_total_1,montant_apc_total_min_1,montant_apc_total_max_1,montant_apc_total_2A_1.25,montant_apc_total_min_2A_1.25,montant_apc_total_max_2A_1.25,montant_apc_total_2A_1.2,montant_apc_total_min_2A_1.2,montant_apc_total_max_2A_1.2,montant_apc_total_2A_1.3,montant_apc_total_min_2A_1.3,montant_apc_total_max_2A_1.3,montant_apc_total_2B_0.85,montant_apc_total_min_2B_0.85,montant_apc_total_max_2B_0.85,montant_apc_total_2B_0.9,montant_apc_total_min_2B_0.9,montant_apc_total_max_2B_0.9,montant_apc_total_2B_0.95,montant_apc_total_min_2B_0.95,montant_apc_total_max_2B_0.95,montant_apc_total_S3,montant_apc_total_min_S3,montant_apc_total_max_S3,n_subscription,n_min_subscription,n_max_subscription
2013,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,7255703.06721109,,,,,,
2014,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,8704357.17729329,,,,,,
2015,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,10695190.152436,,,,,,
2016,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,12731608.2012547,,,,,,
2017,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,14469403.3188129,,,,,,
2018,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,16150495.621162,,,,,,
2019,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,19008473.3725365,,,,,,
2020,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,25173181.358169,,,,87500000,87500000,87500000
2021,27609229.7212221,26778454.0660709,28443229.233716,28489898.1526603,28371691.8852323,28608214.780287,28399738.559775,28285258.5875993,28514324.9507139,28578217.753854,28456286.1765328,28700263.6328097,27610383.9138744,27389715.8344827,27833079.8541322,27663053.308774,27442311.5970212,27885300.6732024,27715201.2245163,27494907.3595597,27938043.7004634,143225253.707636,139264233.534804,147208167.585587,88500677.3029372,87676380.3742314,89324974.2316429
2022,30066884.719158,28379802.669521,31770834.5922349,32034801.671666,31785459.7915781,32284584.9925491,31847090.9544294,31607606.1905492,32088934.5846776,32222512.3889026,31963313.392607,32480235.4004206,30215967.6927058,29790666.0196547,30644894.9801283,30297160.0733942,29867003.1578461,30731434.5430563,30383426.9778756,29947938.9188201,30822139.1116866,146290478.106322,138284048.960576,154385766.105007,89501354.6058743,87852760.7484628,91149948.4632858
2023,32547259.0478911,29973768.9859058,35163806.7205292,35811667.0689109,35418257.2748544,36206070.1047568,35517268.8745072,35136451.9693706,35897010.2600601,36106065.2633147,35698035.2040397,36515129.9494535,32975771.8875566,32358084.521959,33605239.2387359,33068440.201499,32440273.2550292,33709706.5344385,33172341.0383434,32532436.3489088,33825467.5918387,149295673.970746,137160832.629829,161634192.867639,90502031.9088115,88029141.1226942,92974922.6949287
2024,35051075.9009904,31562076.1366303,38616128.6769967,39816528.8499866,39266123.7674472,40370829.1398597,39406306.8255999,38875756.4916774,39938551.9768613,40228876.3770903,39656491.043217,40800976.8587053,35882163.3048355,35072498.7307916,36709693.3759753,35974234.0391318,35148906.2993401,36819403.4899973,36083013.9066892,35240189.6776944,36948029.1409197,152242932.644858,135891227.815997,168950072.885474,91502709.2117486,88205521.4969255,94799896.9265717
2025,37579789.3735873,33144740.362511,42129852.6792683,44053542.8499853,43333208.2069364,44776636.4980043,43516139.969741,42821370.8198898,44213559.7350814,44590945.7302295,43842829.8477187,45339713.2609272,38928524.1668118,37925180.2461877,39957105.4839672,39011373.1193807,37990044.7514918,40062081.9520558,39115004.5210686,38071818.3799735,40191808.9695312,155128137.364848,134474863.398792,176332950.897261,92503386.5146857,88381901.8711569,96624871.1582146
2026,40129972.6769915,34727673.2278422,45703244.7705742,48520678.7365316,47615173.2857764,49427847.2231968,47846768.3069303,46977632.2615535,48722033.5347202,49192273.3227322,48255024.2412464,50131339.1561192,42110326.8785976,40905023.277122,43338395.4722492,42178739.257865,40955207.4047003,43430669.7828253,42269220.1465736,41022263.7820679,43550851.4458683,157953313.550576,132917512.441488,183788844.336114,93504063.8176229,88558282.2453883,98449845.3898575
2027,42705152.7420131,36296827.4938544,49342001.6630467,53215525.4958832,52116544.6814785,54322331.8712845,52400602.8509105,51340015.139157,53463973.3757779,54032859.1545985,52890670.1075698,55178272.4555363,45418925.8236986,44002837.4967203,46857035.5817177,45469812.655032,44037652.2596633,46930409.4567587,45540925.7978732,44086921.3661494,47031112.2017359,160720750.318259,131211716.758785,191309947.595453,94504741.1205601,88734662.6196197,100274819.6215
2028,45301440.4248513,37862503.5772902,53040136.376895,58142809.9851833,56832608.3465655,59457576.3753118,57172916.7445383,55910735.1989646,58441893.32521,59110197.0417439,57754481.4941664,60475773.4923692,48854518.6208723,47217597.3572803,50508794.92998,48886435.4760799,47237544.2851071,50558602.6059025,48933507.8191377,47267606.4796517,50630606.0265324,163424161.202709,129365443.211167,198904620.841272,95505418.4234972,88911042.9938511,102099793.853143
2029,47920608.4677773,39424301.3049223,56801824.0282632,63297615.0066049,61768266.6984805,64838512.7134891,62166025.8312143,60692384.9271721,63650861.4048059,64429204.1819954,62844148.4697889,66026164.0221723,52409713.124443,50540886.34676,54291618.7944062,52422338.6426167,50547481.2287494,54314489.3029487,52442000.6756961,50558046.4988752,54349332.9202577,166069316.607175,127372008.791875,206565836.981118,96506095.7264343,89087423.3680824,103924768.084786
2030,50563550.4074388,40978670.996841,60623565.7798282,68685048.0986586,66918428.9498146,70460016.5962045,67379930.1109387,65679873.5363707,69093295.5258207,69987469.5616105,68156984.3632585,71829444.0449455,56086281.2548864,53974126.5445888,58203902.5709547,56080196.457307,53969196.0161173,58197522.0200602,56070141.5786839,53960887.6670353,58187292.8829119,168654493.357028,125234035.195354,214296422.842172,97506773.0293715,89263803.7423138,105749742.316429
