year,tier,montant_moyen
2013,tier 1,2499.02860979891
2013,tier 2,1623.81834517718
2013,tier 3,1426.28086612174
2013,tier 4,1530.63989935588
2014,tier 1,2345.08159427669
2014,tier 2,1706.29055791509
2014,tier 3,1456.56491434631
2014,tier 4,1603.05079576432
2015,tier 1,2505.47979532861
2015,tier 2,1955.98885444106
2015,tier 3,1583.50123817806
2015,tier 4,1441.1693176298
2016,tier 1,2418.64399880933
2016,tier 2,1836.60048799931
2016,tier 3,1723.35701853467
2016,tier 4,1607.95187735385
2017,tier 1,2398.79315226642
2017,tier 2,1810.81018464098
2017,tier 3,1734.23231225433
2017,tier 4,1771.19701623715
2018,tier 1,2630.36434232932
2018,tier 2,1801.02140102533
2018,tier 3,1772.27615808785
2018,tier 4,1735.094628303
2019,tier 1,2413.74431767853
2019,tier 2,1765.31726360383
2019,tier 3,1848.52021731447
2019,tier 4,1772.9138144204
2020,tier 1,2320.5696456981
2020,tier 2,1819.95097232662
2020,tier 3,1900.43794487464
2020,tier 4,1831.22335952548
