year,is_french_CA_bso_wos_openalex_single_lang,montant_moyen,is_french_CA
2013,french CA,1502.52703814684,french CA
2013,non french CA,1630.26442596415,non french CA
2014,french CA,1553.79456931333,french CA
2014,non french CA,1719.90009808566,non french CA
2015,french CA,1674.26270388792,french CA
2015,non french CA,1875.74240961421,non french CA
2016,french CA,1743.33947709909,french CA
2016,non french CA,1875.5928053396,non french CA
2017,french CA,1769.95759251534,french CA
2017,non french CA,1916.99748265496,non french CA
2018,french CA,1772.83157202656,french CA
2018,non french CA,1939.47809513617,non french CA
2019,french CA,1789.53806934066,french CA
2019,non french CA,1917.26628721803,non french CA
2020,french CA,1829.97829006753,french CA
2020,non french CA,1957.68916893083,non french CA
